CollegeName,TotalRegistrations
ANURAG UNIVERSITY,1061
CMR COLLEGE OF ENGINEERING AND TECHNOLOGY,473
VARDHAMAN COLLEGE OF ENGINEERING,452
MLR INSTITUTE OF TECHNOLOGY,375
COLLEGE,339
GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY,210
VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,207
SREENIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,204
JNTUH,202
BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,201
MVSR ENGINEERING COLLEGE,190
STANLEY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,180
VAAGDEVI ENGINEERING COLLEGE,175
VNR VJIET,159
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,136
PALLAVI ENGINEERING COLLEGE,136
VNRVJIET,129
MATRUSRI ENGINEERING COLLEGE,128
MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,128
VIGNANA BHARATHI INSTITUTE OF TECHNOLOGY,116
MALLA REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,112
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,108
INSTITUTE OF AERONAUTICAL ENGINEERING,107
CMR TECHNICAL CAMPUS,107
GOKARAJU RANGARAJU INSTITUTE OF ENGINEERING AND TECHNOLOGY,99
VASAVI COLLEGE OF ENGINEERING,91
MLRIT,89
OSMANIA UNIVERSITY,87
CMR COLLEGE OF ENGINEERING & TECHNOLOGY,82
ACE ENGINEERING COLLEGE,79
JNTU,76
NARSIMHA REDDY ENGINEERING COLLEGE,75
SRIDEVI WOMEN'S ENGINEERING COLLEGE,75
MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,71
VNR VIGNANA JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,69
MVGR COLLEGE OF ENGINEERING,62
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY HYDERABAD,58
VJIT,51
GD GOENKA UNIVERSITY,46
CMRCET,44
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,42
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE,42
ICFAI UNIVERSITY,41
GEETANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY,40
MALLAREDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,39
KL UNIVERSITY,37
CHALAPATHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,37
GITAM UNIVERSITY,36
JAYAMUKHI INSTITUTE OF TECHNOLOGICAL SCIENCES,36
NALLA MALLA REDDY ENGINEERING COLLEGE,36
SPHOORTHY ENGINEERING COLLEGE,35
MALLA REDDY UNIVERSITY,34
B V RAJU INSTITUTE OF TECHNOLOGY,33
SRI DEVI WOMEN'S ENGINEERING COLLEGE,33
VIDYA JYOTI INSTITUTE OF TECHNOLOGY,32
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY,31
JBIET,29
CVR COLLEGE OF ENGINEERING,28
NAWAB SHAH ALAM KHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,28
NNRG,27
JNTU HYDERABAD,26
ICFAI FOUNDATION FOR HIGHER EDUCATION,26
LOVELY PROFESSIONAL UNIVERSITY,25
